產品名稱,分類,適合地點,價格,圖片
花束BB12 多買優惠組合,花束多買優惠 / 花束,教堂 / 殯儀館 / 醫院,"$1,560.00",https://hy-florist.hk/wp-content/uploads/2025/09/BB-12-scaled.jpg
花束BB11 多買優惠組合,花束多買優惠 / 花束,教堂 / 殯儀館 / 醫院,"$1,030.00",https://hy-florist.hk/wp-content/uploads/2025/09/BB-11-scaled.jpg
花束BB10 多買優惠組合,花束多買優惠 / 花束,教堂 / 殯儀館 / 醫院,"$1,030.00",https://hy-florist.hk/wp-content/uploads/2025/09/BB-10-scaled.jpg
花束BB09 多買優惠組合,花束多買優惠 / 花束,教堂 / 殯儀館 / 醫院,"$1,030.00",https://hy-florist.hk/wp-content/uploads/2025/09/BB-09-scaled.jpg
花束BA08 多買優惠組合,花束多買優惠 / 花束,教堂 / 殯儀館 / 醫院,"$1,030.00",https://hy-florist.hk/wp-content/uploads/2025/08/BA-08-scaled.jpg
花束BA06 多買優惠組合,花束多買優惠 / 花束,教堂 / 殯儀館 / 醫院,$720.00,https://hy-florist.hk/wp-content/uploads/2025/08/BA-06-scaled.jpg
花束BA07  多買優惠組合,花束多買優惠 / 花束,教堂 / 殯儀館 / 醫院,$920.00,https://hy-florist.hk/wp-content/uploads/2025/01/B00007-1.jpg
花牌套餐3,花牌套餐,教堂 / 殯儀館 / 醫院,"$5,500.00",https://hy-florist.hk/wp-content/uploads/2025/08/Flower_Set_3.jpg
花牌套餐2,花牌套餐,教堂 / 殯儀館 / 醫院,"$4,380.00",https://hy-florist.hk/wp-content/uploads/2025/08/Flower_Set_2.jpg
花牌套餐1,花牌套餐,教堂 / 殯儀館 / 醫院,"$2,680.00",https://hy-florist.hk/wp-content/uploads/2025/08/Flower_Set_1.jpg
花束BF07,花束,醫院,"$1,350.00",https://hy-florist.hk/wp-content/uploads/2025/06/1280-BF07-edited.jpg
花束BF05,花束,醫院,"$1,350.00",https://hy-florist.hk/wp-content/uploads/2025/06/1280-BF05-edited.jpg
花束BF02,花束,醫院,"$1,350.00",https://hy-florist.hk/wp-content/uploads/2025/06/1280-BF02-edited.jpg
